zeme,year,co2,population,gdp,primary_energy_consumption,gdp_pc,en_int,co2_int,population_g,gdp_pc_g,en_int_g,co2_int_g,interactions,co2_g
Germany,1993,959.386,81486771.0,2510330187123.32,3991.527,30806.597884745242,1.590040633090597e-09,0.24035563332028068,0.6818689998768335,-1.6436942407373922,0.5339910655045577,-0.5979619475228182,-0.013747377447148601,-1.0395435003259679
Germany,1994,943.228,81773613.0,2575519839599.45,3954.172,31495.73248768463,1.535290833020708e-09,0.2385399522327304,0.35201051223394675,2.2369708122837784,-3.4432956573864693,-0.7554144092519977,-0.07447344552844459,-1.6842021876491864
Germany,1995,939.934,82019890.0,2614281254585.26,3974.795,31873.747387191812,1.5204159816502138e-09,0.23647357914055944,0.301169278163127,1.2002099003571187,-0.9688621237467943,-0.8662587012488787,-0.01548462755375235,-0.3492262740291796
Germany,1996,959.69,82263195.0,2641414240990.66,4105.846,32109.307704261428,1.5544120025869571e-09,0.23373745630011455,0.2966414609919532,0.7390418020451373,2.2359684025318627,-1.1570522383046233,-0.012749722923377504,2.1018497043409523
Germany,1997,931.508,82389631.0,2690394576515.06,4053.187,32654.528778203414,1.5065399831612065e-09,0.22982112594360932,0.15369692363638165,1.6980156625103104,-3.079751014922605,-1.6755253601616782,-0.033009479513679274,-2.93657326845127
Germany,1998,923.499,82011933.0,2746774816494.42,4019.632,33492.37990152506,1.4634006311191057e-09,0.22974715098297555,-0.45842904673283336,2.5658037481187224,-2.863472096610442,-0.03218805944407155,-0.0715031891218798,-0.8597886437905045
Germany,1999,895.442,81678279.0,2805269313430.67,3963.56,34345.35286218102,1.4128982130249778e-09,0.225918618615588,-0.406835917402415,2.546767244262371,-3.451031591773146,-1.6664112486301175,-0.06060763980715311,-3.0381191533504603
Germany,2000,898.976,81797255.0,2885963533943.47,3988.179,35281.91177006454,1.3819228666934777e-09,0.22541014332606435,0.14566418570107764,2.7268868415522896,-2.192326810661238,-0.22507011269791155,-0.06048867609430575,0.39466542779991176
Germany,2001,915.255,81933882.0,2933181986968.52,4062.799,35799.37768563828,1.3851165792133317e-09,0.22527695807742396,0.16703127751658275,1.4666606473768162,0.23110642401449333,-0.05908573885592405,0.005125499085545382,1.8108381091375136
Germany,2002,898.834,82068328.0,2926486831428.63,4011.723,35659.15015873883,1.3708324113802992e-09,0.22405186001127195,0.16409084583590694,-0.3917038115322069,-1.0312610539356282,-0.5438186295692815,0.008547848025575178,-1.7941448011756345
Germany,2003,894.501,82111619.0,2910982263391.97,4010.471,35451.526822190295,1.377703688007659e-09,0.22304138341855606,0.05274994758026619,-0.5822442083568524,0.5012484801436123,-0.45100120689247625,-0.0028220040792281686,-0.4820689916046783
Germany,2004,876.57,82092706.0,2944810405337.25,4009.893,35871.766796641474,1.3616812113718313e-09,0.21860184299182048,-0.023033281075601764,1.1853931610870339,-1.1629842305930338,-1.9904559228833385,-0.01350105176554095,-2.004581325230481
Germany,2005,867.88,82046733.0,2970886268370.04,3962.635,36209.683917213864,1.3338225169333316e-09,0.21901588210874834,-0.056001321237963975,0.9420141541621296,-2.045904298733281,0.18940330569094943,-0.020875906642048303,-0.9913640667602142
Germany,2006,886.434,81701971.0,3085761005285.65,4062.387,37768.50139007846,1.3164943730384407e-09,0.2182052079233219,-0.4202019841545668,4.304973985491056,-1.2991341557744174,-0.3701440176945292,-0.07764066844457851,2.1378531594229644
Germany,2007,846.153,81298546.0,3174912263837.68,3893.423,39052.509793197045,1.2263088477581483e-09,0.21732881323195555,-0.49377633741540805,3.3996805694172627,-6.850429984911067,-0.4016378434351209,-0.197998743999106,-4.544162340343439
Germany,2008,856.643,81110780.0,3203102383827.36,3934.666,39490.46456990501,1.228392204965519e-09,0.2177168278069854,-0.23095862009635537,1.1214510386839516,0.1698884592718386,0.17853802690015463,0.0008096076962060827,1.2397285124557955
Germany,2009,789.984,80935276.0,3025504625850.04,3692.178,37381.779310297774,1.2203511336435826e-09,0.21396151539822839,-0.2163756778075565,-5.339732724274471,-0.654601298301305,-1.7248608876876736,0.15414938927523902,-7.781421198795768
Germany,2010,826.705,80830916.0,3150598283304.25,3847.151,38977.63924021658,1.2210858554665456e-09,0.2148875882438719,-0.12894253922108856,4.269084991037819,0.06020577215095635,0.43282215678830394,0.0151516105754812,4.648321991331472
Germany,2011,804.542,80857877.0,3268996785218.57,3710.585,40428.921788517524,1.1350837103230448e-09,0.2168234927915679,0.03335481191379941,3.723372109215717,-7.0430874912265296,0.9008917469439659,-0.29541492618921916,-2.6808837493422666
Germany,2012,814.093,80916391.0,3284148978797.69,3761.916,40586.94336475894,1.145476659033056e-09,0.2164038218822536,0.07236648075734653,0.39086270236941,0.9156107708614192,-0.19355416883618526,0.001849255653818549,1.187135040805809
Germany,2013,831.746,81041581.0,3297186905208.25,3868.517,40685.12564196212,1.173278043137098e-09,0.21500383738781553,0.15471525416896892,0.24190606402854087,2.4270581058814855,-0.6469315016071175,-0.0083224477411048,2.168425474730773
Germany,2014,792.584,81376078.0,3369071713224.27,3710.465,41401.254472159126,1.1013315583149192e-09,0.21360772841139855,0.41274737717666987,1.7601735742420743,-6.132091642131909,-0.6493414226364402,-0.09989646330721413,-4.7084085766568196
Germany,2015,800.823,82077546.0,3425099578746.09,3780.86,41730.04366804643,1.1038686359548566e-09,0.21180974698878033,0.862007628335193,0.7941527378316771,0.23036456376672731,-0.8417211474462172,-0.00529251301940592,1.0395112694679742
Germany,2016,797.988,82760102.0,3501212900675.89,3841.451,42305.56531546916,1.0971772094346015e-09,0.2077308808572594,0.831598936937028,1.379154194040333,-0.6061796034694811,-1.9257216391165288,-0.0328626997691317,-0.3540108113777807
Germany,2017,784.595,83104010.0,3599173571724.7,3949.556,43309.264760204715,1.0973508004804e-09,0.1986539752822849,0.4155480620359864,2.3724997816505944,0.015821605143262474,-4.369550419040314,-0.11266507008086357,-1.6783460402913342
Germany,2018,758.771,83368507.0,3640049243667.4,3845.414,43662.161824097435,1.0564181258508725e-09,0.19731841617053456,0.3182722470311594,0.8148304198804635,-3.73013576074378,-0.6723042465435314,-0.022042288604873228,-3.291379628980562
Germany,2019,708.649,83559184.0,3675639268112.03,3753.704,43988.45335914278,1.0212384094830035e-09,0.18878659585305607,0.22871586269381794,0.7473096187034622,-3.330093975766857,-4.3238844518723285,0.07227086297831953,-6.605682083263586
Germany,2020,647.177,83628711.0,3523764998709.97,3498.915,42135.828193142544,9.92947884232045e-10,0.1849650534522845,0.08320689201559706,-4.211616968831611,-2.77021751123524,-2.0242657501733374,0.24835911888610873,-8.674534219338481
Germany,2021,677.998,83697080.0,3661544208117.2,3598.492,43747.57408642213,9.82779886153656e-10,0.18841170134600826,0.08175302379107574,3.8251197671768766,-1.0240213247700414,1.863404913195077,0.016119292177552147,4.76237567157054
Germany,2022,667.843,84086227.0,3727790994177.62,3455.45,44332.95590938597,9.269430623650882e-10,0.19327236684078775,0.464946925269083,1.3380897916932089,-5.6815187790521975,2.5798108398018993,-0.19912080659705245,-1.4977920288850588
Germany,2023,593.766,84548233.0,3695372350062.48,3178.886,43707.268844547936,8.602342873367693e-10,0.18678430116713843,0.5494431329401861,-1.4113362215614544,-7.196642138742804,-3.3569546333511835,0.3235116562570237,-11.091978204458231
Germany,2024,572.319,84552234.0,3677048776153.86,3195.441,43488.48755615209,8.690232832163801e-10,0.1791048559494605,0.00473221007468716,-0.5005604197644509,1.0216979268311999,-4.111397569117015,-0.026501129138189583,-3.6120289811137685
Poland,1990,376.342,38055448.0,194797367584.792,1210.33,5118.77741091872,6.213276981133556e-09,0.31094164401444235,,,,,,
Poland,1991,373.366,38152947.0,181131204775.169,1184.164,4747.502329903087,6.537603509400028e-09,0.31529923220094513,0.2562024759240833,-7.253198395063565,5.21989490008703,1.4014167193058258,-0.41508579766477105,-0.7907700974113974
Poland,1992,364.283,38233636.0,185686615837.644,1132.397,4856.629796801016,6.098430922938015e-09,0.3216919507911095,0.211488250173697,2.2986290330089476,-6.717638746836718,2.027508454600424,-0.252720555330888,-2.432733564384537
Poland,1993,364.958,38294882.0,192628157713.225,1131.848,5030.127987160921,5.875818018698168e-09,0.32244435648603,0.16018879292567512,3.5723989189825778,-3.6503308318625582,0.23389012161172396,-0.13085150337722729,0.18529549828019132
Poland,1994,359.991,38344312.0,202823584825.574,1083.18,5289.535116070775,5.340503181282012e-09,0.33234642441699436,0.12907730072129198,5.157068161525391,-9.110473396430319,3.070938514438959,-0.6075891038114678,-1.3609785235561445
Poland,1995,362.483,38364668.0,218906804615.997,1108.723,5705.948103499736,5.0648174319884895e-09,0.3269373865248579,0.05308740446301474,7.872392909611414,-5.162168056743733,-1.6275300393633119,-0.443542689756959,0.6922395282104254
Poland,1996,377.119,38359164.0,232246717071.23,1163.95,6054.530204861348,5.011696245605129e-09,0.32399931268525284,-0.014346533638709413,6.109100451646388,-1.0488272696239087,-0.8986656040885777,-0.10955444839966244,4.037706595895529
Poland,1997,367.199,38348307.0,247015068311.447,1152.541,6441.355241874094,4.665873251695025e-09,0.3185995118611833,-0.02830353654214024,6.389018204949304,-6.900318314649734,-1.6666087280608366,-0.4242570531187151,-2.630469427422122
